MQ-2,MQ-3,MQ-136,MQ-137
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,268.0,74.0,126.0
162.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
162.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
163.0,266.0,74.0,126.0
163.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
163.0,267.0,74.0,126.0
164.0,268.0,74.0,126.0
164.0,268.0,74.0,127.0
164.0,268.0,74.0,127.0
164.0,268.0,74.0,126.0
164.0,268.0,74.0,127.0
164.0,268.0,74.0,127.0
164.0,268.0,74.0,127.0
164.0,268.0,74.0,127.0
164.0,268.0,75.0,127.0
164.0,268.0,75.0,127.0
164.0,268.0,74.0,127.0
164.0,268.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,75.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,127.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,267.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
164.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
165.0,266.0,74.0,126.0
165.0,265.0,74.0,126.0
165.0,265.0,74.0,126.0
165.0,265.0,74.0,126.0
165.0,265.0,74.0,126.0
165.0,265.0,74.0,126.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,75.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
164.0,265.0,74.0,125.0
164.0,265.0,74.0,125.0
164.0,265.0,74.0,125.0
165.0,265.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
165.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,125.0
164.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
164.0,264.0,74.0,124.0
164.0,263.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,264.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
165.0,263.0,74.0,124.0
