MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
191.0,371.0,101.0,190.0,1
190.0,370.0,101.0,190.0,1
190.0,369.0,101.0,190.0,1
190.0,368.0,101.0,190.0,1
190.0,368.0,101.0,190.0,1
190.0,367.0,102.0,190.0,1
190.0,367.0,103.0,190.0,1
190.0,366.0,104.0,190.0,1
190.0,366.0,104.0,190.0,1
190.0,366.0,105.0,191.0,1
190.0,365.0,105.0,191.0,1
190.0,365.0,105.0,191.0,1
189.0,365.0,104.0,191.0,1
189.0,364.0,104.0,191.0,1
189.0,364.0,103.0,191.0,1
189.0,364.0,104.0,191.0,1
189.0,364.0,104.0,191.0,1
189.0,364.0,105.0,191.0,1
189.0,364.0,105.0,191.0,1
189.0,363.0,105.0,191.0,1
189.0,363.0,105.0,191.0,1
189.0,363.0,105.0,191.0,1
189.0,363.0,105.0,191.0,1
189.0,363.0,105.0,191.0,1
189.0,363.0,105.0,192.0,1
189.0,363.0,104.0,192.0,1
189.0,363.0,104.0,192.0,1
189.0,363.0,104.0,192.0,1
189.0,362.0,103.0,192.0,1
189.0,362.0,103.0,193.0,1
189.0,362.0,103.0,193.0,1
189.0,362.0,103.0,193.0,1
189.0,362.0,102.0,193.0,1
189.0,362.0,102.0,194.0,1
190.0,362.0,102.0,194.0,1
190.0,362.0,103.0,194.0,1
189.0,362.0,103.0,195.0,1
189.0,362.0,103.0,195.0,1
189.0,361.0,102.0,195.0,1
189.0,362.0,102.0,195.0,1
189.0,361.0,102.0,195.0,1
189.0,361.0,102.0,195.0,1
189.0,361.0,101.0,195.0,1
189.0,361.0,101.0,195.0,1
189.0,361.0,101.0,195.0,1
189.0,361.0,101.0,195.0,1
189.0,361.0,101.0,194.0,1
189.0,362.0,101.0,194.0,1
189.0,362.0,100.0,194.0,1
189.0,362.0,100.0,194.0,1
189.0,362.0,100.0,194.0,1
190.0,362.0,100.0,194.0,1
190.0,362.0,100.0,194.0,1
190.0,362.0,100.0,194.0,1
190.0,361.0,100.0,193.0,1
190.0,361.0,100.0,193.0,1
190.0,361.0,100.0,193.0,1
190.0,361.0,100.0,193.0,1
190.0,362.0,100.0,193.0,1
190.0,362.0,100.0,193.0,1
190.0,363.0,100.0,193.0,1
190.0,364.0,100.0,193.0,1
190.0,363.0,100.0,193.0,1
190.0,362.0,100.0,193.0,1
190.0,362.0,100.0,192.0,1
190.0,361.0,100.0,192.0,1
190.0,361.0,99.0,192.0,1
190.0,361.0,100.0,192.0,1
190.0,361.0,100.0,192.0,1
190.0,360.0,99.0,192.0,1
190.0,360.0,99.0,192.0,1
190.0,360.0,99.0,192.0,1
190.0,359.0,99.0,192.0,1
189.0,359.0,99.0,191.0,1
190.0,359.0,99.0,191.0,1
189.0,359.0,99.0,191.0,1
189.0,359.0,99.0,191.0,1
189.0,359.0,99.0,191.0,1
190.0,359.0,99.0,191.0,1
189.0,358.0,98.0,191.0,1
190.0,359.0,98.0,192.0,1
189.0,359.0,98.0,191.0,1
190.0,359.0,98.0,191.0,1
190.0,361.0,99.0,191.0,1
190.0,362.0,99.0,192.0,1
191.0,363.0,100.0,192.0,1
191.0,365.0,101.0,192.0,1
192.0,366.0,101.0,192.0,1
192.0,366.0,101.0,191.0,1
192.0,367.0,102.0,192.0,1
192.0,368.0,103.0,191.0,1
193.0,369.0,103.0,191.0,1
193.0,370.0,104.0,192.0,1
194.0,371.0,105.0,192.0,1
194.0,371.0,106.0,192.0,1
194.0,371.0,107.0,192.0,1
194.0,371.0,107.0,192.0,1
