MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
163.0,269.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,268.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
162.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
163.0,266.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
163.0,267.0,74.0,126.0,1
164.0,268.0,74.0,126.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,74.0,126.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,75.0,127.0,1
164.0,268.0,75.0,127.0,1
164.0,268.0,74.0,127.0,1
164.0,268.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,75.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,127.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,267.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
164.0,266.0,74.0,126.0,1
