MQ-2,MQ-3,MQ-136,MQ-137,corruption_level
530.0,493.0,149.0,352.0,2
530.0,492.0,149.0,352.0,2
529.0,492.0,149.0,352.0,2
528.0,492.0,149.0,351.0,2
528.0,491.0,149.0,351.0,2
527.0,491.0,149.0,351.0,2
526.0,491.0,149.0,351.0,2
526.0,490.0,148.0,350.0,2
525.0,489.0,149.0,350.0,2
524.0,489.0,149.0,350.0,2
524.0,489.0,149.0,350.0,2
524.0,489.0,149.0,350.0,2
524.0,488.0,149.0,350.0,2
524.0,488.0,149.0,350.0,2
523.0,487.0,149.0,349.0,2
522.0,486.0,149.0,349.0,2
522.0,486.0,149.0,349.0,2
522.0,485.0,149.0,348.0,2
521.0,485.0,149.0,348.0,2
521.0,485.0,149.0,348.0,2
520.0,485.0,149.0,348.0,2
520.0,485.0,149.0,347.0,2
520.0,485.0,149.0,347.0,2
519.0,484.0,149.0,347.0,2
519.0,484.0,149.0,347.0,2
519.0,484.0,149.0,347.0,2
518.0,484.0,149.0,347.0,2
518.0,484.0,149.0,347.0,2
518.0,484.0,148.0,347.0,2
518.0,483.0,148.0,347.0,2
519.0,483.0,148.0,347.0,2
519.0,483.0,148.0,347.0,2
519.0,483.0,147.0,347.0,2
519.0,483.0,147.0,347.0,2
519.0,483.0,147.0,346.0,2
519.0,483.0,146.0,346.0,2
519.0,483.0,146.0,346.0,2
519.0,483.0,146.0,345.0,2
519.0,483.0,146.0,345.0,2
519.0,483.0,146.0,345.0,2
519.0,483.0,146.0,345.0,2
519.0,483.0,146.0,344.0,2
519.0,483.0,146.0,344.0,2
519.0,483.0,146.0,345.0,2
519.0,483.0,146.0,345.0,2
518.0,483.0,145.0,345.0,2
518.0,483.0,145.0,344.0,2
518.0,483.0,145.0,345.0,2
517.0,482.0,145.0,344.0,2
517.0,481.0,145.0,344.0,2
517.0,481.0,145.0,344.0,2
516.0,481.0,144.0,343.0,2
516.0,481.0,144.0,343.0,2
516.0,480.0,144.0,343.0,2
515.0,480.0,144.0,342.0,2
515.0,480.0,144.0,342.0,2
515.0,479.0,144.0,342.0,2
514.0,479.0,144.0,342.0,2
514.0,479.0,144.0,342.0,2
514.0,479.0,143.0,342.0,2
514.0,479.0,143.0,342.0,2
514.0,478.0,143.0,342.0,2
514.0,478.0,143.0,342.0,2
513.0,478.0,143.0,342.0,2
513.0,477.0,143.0,341.0,2
513.0,477.0,143.0,341.0,2
512.0,477.0,143.0,341.0,2
512.0,477.0,142.0,341.0,2
512.0,477.0,142.0,341.0,2
512.0,476.0,142.0,341.0,2
512.0,476.0,142.0,341.0,2
512.0,476.0,142.0,341.0,2
511.0,476.0,142.0,340.0,2
511.0,476.0,142.0,340.0,2
512.0,476.0,142.0,340.0,2
511.0,476.0,142.0,340.0,2
511.0,476.0,142.0,340.0,2
511.0,476.0,142.0,340.0,2
511.0,475.0,142.0,340.0,2
510.0,475.0,142.0,340.0,2
510.0,475.0,142.0,340.0,2
510.0,475.0,142.0,340.0,2
510.0,475.0,142.0,339.0,2
510.0,474.0,142.0,339.0,2
509.0,474.0,142.0,339.0,2
509.0,474.0,142.0,339.0,2
509.0,474.0,142.0,339.0,2
509.0,474.0,142.0,339.0,2
509.0,474.0,142.0,339.0,2
509.0,474.0,142.0,340.0,2
509.0,473.0,142.0,340.0,2
509.0,473.0,142.0,341.0,2
509.0,473.0,143.0,341.0,2
509.0,473.0,144.0,341.0,2
509.0,473.0,144.0,341.0,2
509.0,473.0,144.0,342.0,2
509.0,473.0,145.0,342.0,2
509.0,473.0,144.0,342.0,2
509.0,473.0,144.0,342.0,2
509.0,473.0,144.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
508.0,473.0,145.0,342.0,2
507.0,472.0,145.0,341.0,2
507.0,473.0,145.0,341.0,2
507.0,473.0,145.0,341.0,2
507.0,473.0,145.0,341.0,2
507.0,473.0,145.0,341.0,2
507.0,473.0,145.0,340.0,2
507.0,472.0,145.0,340.0,2
507.0,472.0,145.0,340.0,2
507.0,472.0,144.0,340.0,2
506.0,472.0,144.0,340.0,2
506.0,471.0,144.0,339.0,2
506.0,471.0,144.0,339.0,2
506.0,471.0,144.0,339.0,2
506.0,471.0,143.0,339.0,2
506.0,471.0,143.0,339.0,2
506.0,471.0,143.0,338.0,2
506.0,471.0,143.0,338.0,2
506.0,471.0,142.0,338.0,2
505.0,471.0,142.0,337.0,2
505.0,470.0,142.0,337.0,2
505.0,470.0,142.0,337.0,2
505.0,470.0,141.0,337.0,2
504.0,469.0,141.0,337.0,2
504.0,469.0,141.0,337.0,2
504.0,468.0,141.0,336.0,2
503.0,468.0,140.0,336.0,2
503.0,468.0,140.0,336.0,2
502.0,468.0,140.0,336.0,2
502.0,468.0,140.0,336.0,2
502.0,467.0,140.0,336.0,2
501.0,467.0,140.0,336.0,2
501.0,467.0,140.0,336.0,2
501.0,467.0,140.0,336.0,2
501.0,468.0,141.0,336.0,2
500.0,468.0,141.0,336.0,2
500.0,468.0,141.0,336.0,2
500.0,468.0,141.0,336.0,2
500.0,468.0,141.0,336.0,2
500.0,468.0,141.0,335.0,2
499.0,467.0,140.0,336.0,2
499.0,467.0,140.0,336.0,2
499.0,467.0,140.0,335.0,2
499.0,467.0,140.0,335.0,2
499.0,467.0,140.0,335.0,2
499.0,468.0,140.0,335.0,2
499.0,468.0,140.0,335.0,2
499.0,468.0,139.0,335.0,2
499.0,467.0,139.0,335.0,2
498.0,467.0,139.0,334.0,2
498.0,467.0,139.0,334.0,2
499.0,467.0,139.0,334.0,2
499.0,467.0,139.0,334.0,2
499.0,467.0,139.0,335.0,2
499.0,467.0,139.0,335.0,2
499.0,467.0,139.0,335.0,2
499.0,467.0,139.0,335.0,2
500.0,468.0,139.0,335.0,2
500.0,468.0,139.0,335.0,2
500.0,468.0,140.0,335.0,2
500.0,468.0,140.0,335.0,2
500.0,468.0,141.0,335.0,2
500.0,468.0,141.0,335.0,2
500.0,467.0,141.0,335.0,2
501.0,467.0,142.0,335.0,2
501.0,467.0,142.0,335.0,2
502.0,467.0,142.0,335.0,2
502.0,467.0,142.0,336.0,2
502.0,467.0,143.0,336.0,2
502.0,467.0,143.0,336.0,2
502.0,467.0,144.0,336.0,2
502.0,467.0,143.0,336.0,2
