MQ-2,MQ-3,MQ-136,MQ-137
309.0,401.0,106.0,186.0
310.0,401.0,106.0,186.0
309.0,400.0,106.0,186.0
309.0,400.0,106.0,186.0
309.0,400.0,106.0,186.0
309.0,399.0,105.0,186.0
309.0,399.0,105.0,186.0
309.0,399.0,105.0,186.0
309.0,399.0,105.0,186.0
309.0,399.0,105.0,187.0
309.0,399.0,106.0,187.0
309.0,399.0,106.0,187.0
309.0,399.0,106.0,187.0
309.0,399.0,106.0,187.0
309.0,399.0,105.0,188.0
309.0,399.0,106.0,188.0
310.0,399.0,106.0,188.0
310.0,399.0,106.0,188.0
309.0,399.0,106.0,188.0
309.0,398.0,106.0,188.0
309.0,398.0,106.0,188.0
309.0,398.0,106.0,189.0
309.0,398.0,106.0,189.0
309.0,398.0,106.0,189.0
309.0,398.0,106.0,189.0
309.0,398.0,106.0,189.0
310.0,398.0,106.0,189.0
310.0,399.0,106.0,190.0
310.0,398.0,106.0,190.0
310.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
310.0,398.0,106.0,190.0
309.0,398.0,106.0,190.0
309.0,397.0,106.0,190.0
310.0,398.0,105.0,191.0
310.0,397.0,106.0,191.0
310.0,397.0,106.0,191.0
310.0,398.0,106.0,191.0
310.0,398.0,106.0,191.0
310.0,398.0,106.0,192.0
310.0,398.0,106.0,192.0
310.0,398.0,106.0,192.0
310.0,398.0,106.0,193.0
310.0,398.0,106.0,193.0
310.0,398.0,107.0,193.0
309.0,398.0,107.0,193.0
309.0,398.0,107.0,194.0
309.0,398.0,107.0,194.0
308.0,398.0,107.0,194.0
308.0,398.0,107.0,194.0
308.0,398.0,107.0,194.0
308.0,398.0,107.0,194.0
307.0,398.0,107.0,194.0
307.0,398.0,107.0,195.0
307.0,398.0,107.0,195.0
307.0,398.0,107.0,195.0
306.0,398.0,107.0,195.0
306.0,398.0,107.0,195.0
306.0,398.0,107.0,195.0
306.0,398.0,107.0,195.0
306.0,398.0,107.0,195.0
306.0,398.0,107.0,195.0
305.0,398.0,107.0,195.0
305.0,398.0,107.0,195.0
304.0,398.0,107.0,196.0
304.0,398.0,107.0,196.0
304.0,398.0,107.0,196.0
303.0,398.0,107.0,196.0
303.0,398.0,107.0,196.0
303.0,398.0,107.0,196.0
302.0,398.0,107.0,196.0
302.0,398.0,107.0,196.0
302.0,398.0,107.0,196.0
301.0,398.0,107.0,196.0
301.0,398.0,107.0,196.0
301.0,398.0,107.0,196.0
301.0,397.0,107.0,196.0
300.0,397.0,107.0,196.0
300.0,397.0,107.0,195.0
299.0,397.0,106.0,195.0
299.0,397.0,106.0,196.0
299.0,397.0,106.0,195.0
300.0,397.0,106.0,195.0
300.0,397.0,106.0,195.0
299.0,395.0,106.0,194.0
298.0,395.0,105.0,194.0
298.0,395.0,105.0,194.0
297.0,394.0,105.0,193.0
297.0,394.0,105.0,193.0
297.0,393.0,104.0,193.0
297.0,393.0,105.0,193.0
298.0,393.0,105.0,193.0
298.0,393.0,104.0,193.0
298.0,393.0,105.0,193.0
298.0,393.0,105.0,193.0
298.0,394.0,104.0,193.0
298.0,394.0,105.0,193.0
298.0,394.0,104.0,193.0
298.0,394.0,104.0,193.0
298.0,394.0,105.0,194.0
299.0,395.0,105.0,194.0
299.0,395.0,105.0,194.0
299.0,395.0,105.0,194.0
299.0,395.0,105.0,194.0
300.0,395.0,105.0,194.0
300.0,395.0,105.0,194.0
300.0,395.0,105.0,195.0
299.0,395.0,105.0,195.0
299.0,395.0,105.0,194.0
299.0,394.0,105.0,195.0
298.0,394.0,105.0,195.0
298.0,394.0,105.0,195.0
298.0,394.0,105.0,195.0
298.0,394.0,105.0,195.0
297.0,394.0,105.0,195.0
297.0,394.0,105.0,195.0
297.0,394.0,105.0,194.0
297.0,394.0,105.0,194.0
297.0,394.0,105.0,194.0
297.0,394.0,105.0,195.0
297.0,395.0,105.0,194.0
297.0,394.0,105.0,195.0
297.0,394.0,105.0,194.0
297.0,394.0,105.0,194.0
297.0,394.0,105.0,194.0
297.0,394.0,105.0,194.0
297.0,393.0,105.0,194.0
297.0,393.0,105.0,194.0
296.0,393.0,105.0,194.0
296.0,392.0,105.0,194.0
296.0,392.0,105.0,194.0
295.0,392.0,105.0,194.0
295.0,391.0,105.0,194.0
295.0,391.0,105.0,194.0
295.0,391.0,105.0,194.0
294.0,391.0,104.0,193.0
294.0,391.0,104.0,193.0
294.0,391.0,104.0,193.0
294.0,390.0,104.0,193.0
294.0,390.0,104.0,193.0
293.0,389.0,103.0,192.0
293.0,390.0,104.0,193.0
293.0,390.0,103.0,192.0
293.0,390.0,103.0,192.0
293.0,390.0,103.0,193.0
293.0,389.0,103.0,192.0
293.0,389.0,103.0,192.0
293.0,389.0,103.0,192.0
293.0,389.0,103.0,192.0
292.0,388.0,103.0,192.0
292.0,388.0,103.0,192.0
292.0,388.0,103.0,192.0
291.0,387.0,103.0,191.0
290.0,387.0,102.0,191.0
290.0,387.0,102.0,190.0
288.0,384.0,102.0,189.0
288.0,384.0,102.0,189.0
287.0,383.0,101.0,188.0
287.0,383.0,101.0,188.0
287.0,383.0,101.0,188.0
287.0,383.0,101.0,187.0
287.0,383.0,101.0,187.0
287.0,383.0,101.0,187.0
286.0,382.0,101.0,187.0
286.0,382.0,101.0,186.0
286.0,381.0,100.0,186.0
286.0,381.0,100.0,186.0
286.0,380.0,100.0,186.0
286.0,380.0,100.0,185.0
286.0,380.0,100.0,185.0
286.0,380.0,100.0,185.0
286.0,380.0,100.0,185.0
286.0,380.0,100.0,185.0
286.0,379.0,100.0,185.0
